i x0 x1 x2 result
4 -10.000000 -3.400000 0.0 0.000044
5 -10.000000 -3.400000 0.0 0.000044
6 -10.000000 -3.400000 0.0 0.000044
7 -10.000000 -3.400000 0.0 0.000044
8 -10.000000 -3.400000 0.0 0.000044
9 -10.000000 -3.400000 0.0 0.000044
10 -10.000000 -3.400000 0.0 0.000044
1 -10.000000 -3.200000 0.0 0.000044
2 -10.000000 -3.200000 0.0 0.000044
3 -10.000000 -3.200000 0.0 0.000044
4 -10.000000 -3.200000 0.0 0.000044
5 -10.000000 -3.200000 0.0 0.000044
6 -10.000000 -3.200000 0.0 0.000044
7 -10.000000 -3.200000 0.0 0.000044
8 -10.000000 -3.200000 0.0 0.000044
9 -10.000000 -3.200000 0.0 0.000044
10 -10.000000 -3.200000 0.0 0.000044
1 -10.000000 -3.000000 0.0 0.000043
2 -10.000000 -3.000000 0.0 0.000043
3 -10.000000 -3.000000 0.0 0.000043
4 -10.000000 -3.000000 0.0 0.000043
5 -10.000000 -3.000000 0.0 0.000043
6 -10.000000 -3.000000 0.0 0.000043
7 -10.000000 -3.000000 0.0 0.000043
8 -10.000000 -3.000000 0.0 0.000043
9 -10.000000 -3.000000 0.0 0.000043
10 -10.000000 -3.000000 0.0 0.000043
1 -10.000000 -2.800000 0.0 0.000043
2 -10.000000 -2.800000 0.0 0.000043
3 -10.000000 -2.800000 0.0 0.000043
4 -10.000000 -2.800000 0.0 0.000043
5 -10.000000 -2.800000 0.0 0.000043
6 -10.000000 -2.800000 0.0 0.000043
7 -10.000000 -2.800000 0.0 0.000043
8 -10.000000 -2.800000 0.0 0.000043
9 -10.000000 -2.800000 0.0 0.000043
10 -10.000000 -2.800000 0.0 0.000043
1 -10.000000 -2.600000 0.0 0.000042
2 -10.000000 -2.600000 0.0 0.000042
3 -10.000000 -2.600000 0.0 0.000042
4 -10.000000 -2.600000 0.0 0.000042
5 -10.000000 -2.600000 0.0 0.000042
6 -10.000000 -2.600000 0.0 0.000042
7 -10.000000 -2.600000 0.0 0.000042
8 -10.000000 -2.600000 0.0 0.000042
9 -10.000000 -2.600000 0.0 0.000042
10 -10.000000 -2.600000 0.0 0.000042
1 -10.000000 -2.400000 0.0 0.000042
2 -10.000000 -2.400000 0.0 0.000042
3 -10.000000 -2.400000 0.0 0.000042
4 -10.000000 -2.400000 0.0 0.000042
5 -10.000000 -2.400000 0.0 0.000042
6 -10.000000 -2.400000 0.0 0.000042
7 -10.000000 -2.400000 0.0 0.000042
8 -10.000000 -2.400000 0.0 0.000042
9 -10.000000 -2.400000 0.0 0.000042
10 -10.000000 -2.400000 0.0 0.000042
1 -10.000000 -2.200000 0.0 0.000041
2 -10.000000 -2.200000 0.0 0.000041
3 -10.000000 -2.200000 0.0 0.000041
4 -10.000000 -2.200000 0.0 0.000041
5 -10.000000 -2.200000 0.0 0.000041
6 -10.000000 -2.200000 0.0 0.000041
7 -10.000000 -2.200000 0.0 0.000041
8 -10.000000 -2.200000 0.0 0.000041
9 -10.000000 -2.200000 0.0 0.000041
10 -10.000000 -2.200000 0.0 0.000041
1 -10.000000 -2.000000 0.0 0.000040
2 -10.000000 -2.000000 0.0 0.000040
3 -10.000000 -2.000000 0.0 0.000040
4 -10.000000 -2.000000 0.0 0.000040
5 -10.000000 -2.000000 0.0 0.000040
6 -10.000000 -2.000000 0.0 0.000040
7 -10.000000 -2.000000 0.0 0.000040
8 -10.000000 -2.000000 0.0 0.000040
9 -10.000000 -2.000000 0.0 0.000040
10 -10.000000 -2.000000 0.0 0.000040
1 -10.000000 -1.800000 0.0 0.000039
2 -10.000000 -1.800000 0.0 0.000039
3 -10.000000 -1.800000 0.0 0.000039
4 -10.000000 -1.800000 0.0 0.000039
5 -10.000000 -1.800000 0.0 0.000039
6 -10.000000 -1.800000 0.0 0.000039
7 -10.000000 -1.800000 0.0 0.000039
8 -10.000000 -1.800000 0.0 0.000039
9 -10.000000 -1.800000 0.0 0.000039
10 -10.000000 -1.800000 0.0 0.000039
1 -10.000000 -1.600000 0.0 0.000038
2 -10.000000 -1.600000 0.0 0.000038
3 -10.000000 -1.600000 0.0 0.000038
4 -10.000000 -1.600000 0.0 0.000038
5 -10.000000 -1.600000 0.0 0.000038
6 -10.000000 -1.600000 0.0 0.000038
7 -10.000000 -1.600000 0.0 0.000038
8 -10.000000 -1.600000 0.0 0.000038
9 -10.000000 -1.600000 0.0 0.000038
10 -10.000000 -1.600000 0.0 0.000038
1 -10.000000 -1.400000 0.0 0.000036
2 -10.000000 -1.400000 0.0 0.000036
3 -10.000000 -1.400000 0.0 0.000036
4 -10.000000 -1.400000 0.0 0.000036
5 -10.000000 -1.400000 0.0 0.000036
6 -10.000000 -1.400000 0.0 0.000036
7 -10.000000 -1.400000 0.0 0.000036
8 -10.000000 -1.400000 0.0 0.000036
9 -10.000000 -1.400000 0.0 0.000036
10 -10.000000 -1.400000 0.0 0.000036
1 -10.000000 -1.200000 0.0 0.000035
2 -10.000000 -1.200000 0.0 0.000035
3 -10.000000 -1.200000 0.0 0.000035
4 -10.000000 -1.200000 0.0 0.000035
5 -10.000000 -1.200000 0.0 0.000035
6 -10.000000 -1.200000 0.0 0.000035
7 -10.000000 -1.200000 0.0 0.000035
8 -10.000000 -1.200000 0.0 0.000035
9 -10.000000 -1.200000 0.0 0.000035
10 -10.000000 -1.200000 0.0 0.000035
1 -10.000000 -1.000000 0.0 0.000033
2 -10.000000 -1.000000 0.0 0.000033
3 -10.000000 -1.000000 0.0 0.000033
4 -10.000000 -1.000000 0.0 0.000033
5 -10.000000 -1.000000 0.0 0.000033
6 -10.000000 -1.000000 0.0 0.000033
7 -10.000000 -1.000000 0.0 0.000033
8 -10.000000 -1.000000 0.0 0.000033
9 -10.000000 -1.000000 0.0 0.000033
10 -10.000000 -1.000000 0.0 0.000033
1 -10.000000 -0.800000 0.0 0.000031
2 -10.000000 -0.800000 0.0 0.000031
3 -10.000000 -0.800000 0.0 0.000031
4 -10.000000 -0.800000 0.0 0.000031
5 -10.000000 -0.800000 0.0 0.000031
6 -10.000000 -0.800000 0.0 0.000031
7 -10.000000 -0.800000 0.0 0.000031
8 -10.000000 -0.800000 0.0 0.000031
9 -10.000000 -0.800000 0.0 0.000031
10 -10.000000 -0.800000 0.0 0.000031
1 -10.000000 -0.600000 0.0 0.000029
2 -10.000000 -0.600000 0.0 0.000029
3 -10.000000 -0.600000 0.0 0.000029
4 -10.000000 -0.600000 0.0 0.000029
5 -10.000000 -0.600000 0.0 0.000029
6 -10.000000 -0.600000 0.0 0.000029
7 -10.000000 -0.600000 0.0 0.000029
8 -10.000000 -0.600000 0.0 0.000029
9 -10.000000 -0.600000 0.0 0.000029
10 -10.000000 -0.600000 0.0 0.000029
1 -10.000000 -0.400000 0.0 0.000027
2 -10.000000 -0.400000 0.0 0.000027
3 -10.000000 -0.400000 0.0 0.000027
4 -10.000000 -0.400000 0.0 0.000027
5 -10.000000 -0.400000 0.0 0.000027
6 -10.000000 -0.400000 0.0 0.000027
7 -10.000000 -0.400000 0.0 0.000027
8 -10.000000 -0.400000 0.0 0.000027
9 -10.000000 -0.400000 0.0 0.000027
10 -10.000000 -0.400000 0.0 0.000027
1 -10.000000 -0.200000 0.0 0.000025
2 -10.000000 -0.200000 0.0 0.000025
3 -10.000000 -0.200000 0.0 0.000025
4 -10.000000 -0.200000 0.0 0.000025
5 -10.000000 -0.200000 0.0 0.000025
6 -10.000000 -0.200000 0.0 0.000025
7 -10.000000 -0.200000 0.0 0.000025
8 -10.000000 -0.200000 0.0 0.000025
