i x0 x1 x2 result
1 -10.000000 -3.600000 0.0 4.41905e-05
2 -10.000000 -3.600000 0.0 4.41904e-05
3 -10.000000 -3.600000 0.0 4.41905e-05
4 -10.000000 -3.600000 0.0 4.41905e-05
5 -10.000000 -3.600000 0.0 4.41905e-05
6 -10.000000 -3.600000 0.0 4.41905e-05
7 -10.000000 -3.600000 0.0 4.41905e-05
8 -10.000000 -3.600000 0.0 4.41905e-05
9 -10.000000 -3.600000 0.0 4.41905e-05
10 -10.000000 -3.600000 0.0 4.41905e-05
1 -10.000000 -3.400000 0.0 4.39318e-05
2 -10.000000 -3.400000 0.0 4.39318e-05
3 -10.000000 -3.400000 0.0 4.39318e-05
4 -10.000000 -3.400000 0.0 4.39318e-05
5 -10.000000 -3.400000 0.0 4.39318e-05
6 -10.000000 -3.400000 0.0 4.39318e-05
7 -10.000000 -3.400000 0.0 4.39318e-05
8 -10.000000 -3.400000 0.0 4.39318e-05
9 -10.000000 -3.400000 0.0 4.39318e-05
10 -10.000000 -3.400000 0.0 4.39318e-05
1 -10.000000 -3.200000 0.0 4.36199e-05
2 -10.000000 -3.200000 0.0 4.36199e-05
3 -10.000000 -3.200000 0.0 4.36199e-05
4 -10.000000 -3.200000 0.0 4.362e-05
5 -10.000000 -3.200000 0.0 4.36199e-05
6 -10.000000 -3.200000 0.0 4.36199e-05
7 -10.000000 -3.200000 0.0 4.36199e-05
8 -10.000000 -3.200000 0.0 4.36199e-05
9 -10.000000 -3.200000 0.0 4.36199e-05
10 -10.000000 -3.200000 0.0 4.36199e-05
1 -10.000000 -3.000000 0.0 4.32449e-05
2 -10.000000 -3.000000 0.0 4.32449e-05
3 -10.000000 -3.000000 0.0 4.32449e-05
4 -10.000000 -3.000000 0.0 4.32449e-05
5 -10.000000 -3.000000 0.0 4.32449e-05
6 -10.000000 -3.000000 0.0 4.32449e-05
7 -10.000000 -3.000000 0.0 4.32449e-05
8 -10.000000 -3.000000 0.0 4.32449e-05
9 -10.000000 -3.000000 0.0 4.32449e-05
10 -10.000000 -3.000000 0.0 4.32449e-05
1 -10.000000 -2.800000 0.0 4.27955e-05
2 -10.000000 -2.800000 0.0 4.27955e-05
3 -10.000000 -2.800000 0.0 4.27956e-05
4 -10.000000 -2.800000 0.0 4.27956e-05
5 -10.000000 -2.800000 0.0 4.27956e-05
6 -10.000000 -2.800000 0.0 4.27956e-05
7 -10.000000 -2.800000 0.0 4.27956e-05
8 -10.000000 -2.800000 0.0 4.27956e-05
9 -10.000000 -2.800000 0.0 4.27956e-05
10 -10.000000 -2.800000 0.0 4.27956e-05
1 -10.000000 -2.600000 0.0 4.22593e-05
2 -10.000000 -2.600000 0.0 4.22593e-05
3 -10.000000 -2.600000 0.0 4.22593e-05
4 -10.000000 -2.600000 0.0 4.22593e-05
5 -10.000000 -2.600000 0.0 4.22593e-05
6 -10.000000 -2.600000 0.0 4.22593e-05
7 -10.000000 -2.600000 0.0 4.22593e-05
8 -10.000000 -2.600000 0.0 4.22593e-05
9 -10.000000 -2.600000 0.0 4.22593e-05
10 -10.000000 -2.600000 0.0 4.22593e-05
1 -10.000000 -2.400000 0.0 4.16222e-05
2 -10.000000 -2.400000 0.0 4.16222e-05
3 -10.000000 -2.400000 0.0 4.16221e-05
4 -10.000000 -2.400000 0.0 4.16222e-05
5 -10.000000 -2.400000 0.0 4.16222e-05
6 -10.000000 -2.400000 0.0 4.16222e-05
7 -10.000000 -2.400000 0.0 4.16222e-05
8 -10.000000 -2.400000 0.0 4.16222e-05
9 -10.000000 -2.400000 0.0 4.16222e-05
10 -10.000000 -2.400000 0.0 4.16222e-05
1 -10.000000 -2.200000 0.0 4.08696e-05
2 -10.000000 -2.200000 0.0 4.08696e-05
3 -10.000000 -2.200000 0.0 4.08696e-05
4 -10.000000 -2.200000 0.0 4.08696e-05
5 -10.000000 -2.200000 0.0 4.08696e-05
6 -10.000000 -2.200000 0.0 4.08696e-05
7 -10.000000 -2.200000 0.0 4.08696e-05
8 -10.000000 -2.200000 0.0 4.08696e-05
9 -10.000000 -2.200000 0.0 4.08696e-05
10 -10.000000 -2.200000 0.0 4.08696e-05
1 -10.000000 -2.000000 0.0 3.99865e-05
2 -10.000000 -2.000000 0.0 3.99866e-05
3 -10.000000 -2.000000 0.0 3.99865e-05
4 -10.000000 -2.000000 0.0 3.99865e-05
5 -10.000000 -2.000000 0.0 3.99865e-05
6 -10.000000 -2.000000 0.0 3.99865e-05
7 -10.000000 -2.000000 0.0 3.99865e-05
8 -10.000000 -2.000000 0.0 3.99866e-05
9 -10.000000 -2.000000 0.0 3.99865e-05
10 -10.000000 -2.000000 0.0 3.99865e-05
1 -10.000000 -1.800000 0.0 3.89584e-05
2 -10.000000 -1.800000 0.0 3.89584e-05
3 -10.000000 -1.800000 0.0 3.89584e-05
4 -10.000000 -1.800000 0.0 3.89584e-05
5 -10.000000 -1.800000 0.0 3.89584e-05
6 -10.000000 -1.800000 0.0 3.89584e-05
7 -10.000000 -1.800000 0.0 3.89584e-05
8 -10.000000 -1.800000 0.0 3.89584e-05
9 -10.000000 -1.800000 0.0 3.89584e-05
10 -10.000000 -1.800000 0.0 3.89584e-05
1 -10.000000 -1.600000 0.0 3.77721e-05
2 -10.000000 -1.600000 0.0 3.77721e-05
3 -10.000000 -1.600000 0.0 3.77722e-05
4 -10.000000 -1.600000 0.0 3.77722e-05
5 -10.000000 -1.600000 0.0 3.77722e-05
6 -10.000000 -1.600000 0.0 3.77722e-05
7 -10.000000 -1.600000 0.0 3.77722e-05
8 -10.000000 -1.600000 0.0 3.77722e-05
9 -10.000000 -1.600000 0.0 3.77721e-05
10 -10.000000 -1.600000 0.0 3.77721e-05
1 -10.000000 -1.400000 0.0 3.64178e-05
2 -10.000000 -1.400000 0.0 3.64178e-05
3 -10.000000 -1.400000 0.0 3.64178e-05
4 -10.000000 -1.400000 0.0 3.64178e-05
5 -10.000000 -1.400000 0.0 3.64178e-05
6 -10.000000 -1.400000 0.0 3.64178e-05
7 -10.000000 -1.400000 0.0 3.64178e-05
8 -10.000000 -1.400000 0.0 3.64178e-05
9 -10.000000 -1.400000 0.0 3.64178e-05
10 -10.000000 -1.400000 0.0 3.64178e-05
1 -10.000000 -1.200000 0.0 3.48898e-05
2 -10.000000 -1.200000 0.0 3.48898e-05
3 -10.000000 -1.200000 0.0 3.48898e-05
4 -10.000000 -1.200000 0.0 3.48898e-05
5 -10.000000 -1.200000 0.0 3.48898e-05
6 -10.000000 -1.200000 0.0 3.48897e-05
7 -10.000000 -1.200000 0.0 3.48898e-05
8 -10.000000 -1.200000 0.0 3.48898e-05
9 -10.000000 -1.200000 0.0 3.48898e-05
10 -10.000000 -1.200000 0.0 3.48897e-05
1 -10.000000 -1.000000 0.0 3.31889e-05
2 -10.000000 -1.000000 0.0 3.31889e-05
3 -10.000000 -1.000000 0.0 3.31889e-05
4 -10.000000 -1.000000 0.0 3.31889e-05
5 -10.000000 -1.000000 0.0 3.31889e-05
6 -10.000000 -1.000000 0.0 3.31889e-05
7 -10.000000 -1.000000 0.0 3.31889e-05
8 -10.000000 -1.000000 0.0 3.31889e-05
9 -10.000000 -1.000000 0.0 3.31889e-05
