# Verificarlo Analysis for parallel_3
# Source: parallel_3.c
# Type: DOUBLE, Precision: 53, Mode: mca
# Range: [1e10:0.01:1.0000000001e10], Iterations: 20
i x result
15 10000000000.14 8.00000000011199951e+10
16 10000000000.14 8.00000000011200104e+10
17 10000000000.14 8.00000000011200104e+10
18 10000000000.14 8.00000000011199951e+10
19 10000000000.14 8.00000000011199951e+10
20 10000000000.14 8.00000000011200104e+10
1 10000000000.15 8.00000000011999969e+10
2 10000000000.15 8.00000000011999969e+10
3 10000000000.15 8.00000000011999817e+10
4 10000000000.15 8.00000000011999969e+10
5 10000000000.15 8.00000000011999969e+10
6 10000000000.15 8.00000000011999969e+10
7 10000000000.15 8.00000000011999969e+10
8 10000000000.15 8.00000000011999969e+10
9 10000000000.15 8.00000000011999969e+10
10 10000000000.15 8.00000000012000122e+10
11 10000000000.15 8.00000000011999969e+10
12 10000000000.15 8.00000000011999817e+10
13 10000000000.15 8.00000000011999969e+10
14 10000000000.15 8.00000000011999969e+10
15 10000000000.15 8.00000000012000275e+10
16 10000000000.15 8.00000000011999969e+10
17 10000000000.15 8.00000000011999969e+10
18 10000000000.15 8.00000000012000122e+10
19 10000000000.15 8.00000000012000122e+10
20 10000000000.15 8.00000000011999969e+10
1 10000000000.16 8.00000000012799835e+10
2 10000000000.16 8.00000000012799988e+10
3 10000000000.16 8.00000000012799988e+10
4 10000000000.16 8.00000000012799988e+10
5 10000000000.16 8.00000000012799988e+10
6 10000000000.16 8.00000000012800140e+10
7 10000000000.16 8.00000000012800140e+10
8 10000000000.16 8.00000000012799988e+10
9 10000000000.16 8.00000000012799988e+10
10 10000000000.16 8.00000000012799988e+10
11 10000000000.16 8.00000000012799988e+10
12 10000000000.16 8.00000000012799988e+10
13 10000000000.16 8.00000000012799988e+10
14 10000000000.16 8.00000000012800140e+10
15 10000000000.16 8.00000000012799988e+10
16 10000000000.16 8.00000000012799988e+10
17 10000000000.16 8.00000000012799988e+10
18 10000000000.16 8.00000000012799835e+10
19 10000000000.16 8.00000000012800140e+10
20 10000000000.16 8.00000000012799988e+10
1 10000000000.17 8.00000000013600006e+10
2 10000000000.17 8.00000000013600159e+10
3 10000000000.17 8.00000000013600006e+10
4 10000000000.17 8.00000000013600006e+10
5 10000000000.17 8.00000000013600006e+10
6 10000000000.17 8.00000000013600006e+10
7 10000000000.17 8.00000000013600159e+10
8 10000000000.17 8.00000000013600006e+10
9 10000000000.17 8.00000000013599854e+10
10 10000000000.17 8.00000000013600006e+10
11 10000000000.17 8.00000000013599854e+10
12 10000000000.17 8.00000000013599854e+10
13 10000000000.17 8.00000000013600006e+10
14 10000000000.17 8.00000000013600006e+10
15 10000000000.17 8.00000000013600006e+10
16 10000000000.17 8.00000000013600006e+10
17 10000000000.17 8.00000000013599854e+10
18 10000000000.17 8.00000000013599854e+10
19 10000000000.17 8.00000000013599854e+10
20 10000000000.17 8.00000000013599854e+10
1 10000000000.18 8.00000000014400024e+10
2 10000000000.18 8.00000000014400024e+10
3 10000000000.18 8.00000000014399872e+10
4 10000000000.18 8.00000000014400024e+10
5 10000000000.18 8.00000000014400024e+10
6 10000000000.18 8.00000000014400024e+10
7 10000000000.18 8.00000000014400024e+10
8 10000000000.18 8.00000000014400024e+10
9 10000000000.18 8.00000000014400024e+10
