i x result
15 -3.500000 -6.16148114204406738e-04
16 -3.500000 -6.16148114204406738e-04
17 -3.500000 -6.16148114204406738e-04
18 -3.500000 -6.16148114204406738e-04
19 -3.500000 -6.16148114204406738e-04
20 -3.500000 -6.16148114204406738e-04
1 -3.400000 -9.05871449504047632e-04
2 -3.400000 -9.05871391296386719e-04
3 -3.400000 -9.05871449504047632e-04
4 -3.400000 -9.05871391296386719e-04
5 -3.400000 -9.05871391296386719e-04
6 -3.400000 -9.05871391296386719e-04
7 -3.400000 -9.05871391296386719e-04
8 -3.400000 -9.05871449504047632e-04
9 -3.400000 -9.05871391296386719e-04
10 -3.400000 -9.05871449504047632e-04
11 -3.400000 -9.05871391296386719e-04
12 -3.400000 -9.05871449504047632e-04
13 -3.400000 -9.05871391296386719e-04
14 -3.400000 -9.05871391296386719e-04
15 -3.400000 -9.05871391296386719e-04
16 -3.400000 -9.05871391296386719e-04
17 -3.400000 -9.05871391296386719e-04
18 -3.400000 -9.05871391296386719e-04
19 -3.400000 -9.05871391296386719e-04
20 -3.400000 -9.05871391296386719e-04
1 -3.300000 -1.31126935593783855e-03
2 -3.300000 -1.31126935593783855e-03
3 -3.300000 -1.31126935593783855e-03
4 -3.300000 -1.31126935593783855e-03
5 -3.300000 -1.31126947235316038e-03
6 -3.300000 -1.31126935593783855e-03
7 -3.300000 -1.31126935593783855e-03
8 -3.300000 -1.31126935593783855e-03
9 -3.300000 -1.31126935593783855e-03
10 -3.300000 -1.31126947235316038e-03
11 -3.300000 -1.31126935593783855e-03
12 -3.300000 -1.31126947235316038e-03
13 -3.300000 -1.31126947235316038e-03
14 -3.300000 -1.31126935593783855e-03
15 -3.300000 -1.31126935593783855e-03
16 -3.300000 -1.31126935593783855e-03
17 -3.300000 -1.31126947235316038e-03
18 -3.300000 -1.31126935593783855e-03
19 -3.300000 -1.31126935593783855e-03
20 -3.300000 -1.31126947235316038e-03
1 -3.200000 -1.86958315316587687e-03
2 -3.200000 -1.86958315316587687e-03
3 -3.200000 -1.86958315316587687e-03
4 -3.200000 -1.86958315316587687e-03
5 -3.200000 -1.86958315316587687e-03
6 -3.200000 -1.86958315316587687e-03
7 -3.200000 -1.86958315316587687e-03
8 -3.200000 -1.86958315316587687e-03
9 -3.200000 -1.86958315316587687e-03
10 -3.200000 -1.86958315316587687e-03
11 -3.200000 -1.86958315316587687e-03
12 -3.200000 -1.86958315316587687e-03
13 -3.200000 -1.86958315316587687e-03
14 -3.200000 -1.86958315316587687e-03
15 -3.200000 -1.86958315316587687e-03
16 -3.200000 -1.86958315316587687e-03
17 -3.200000 -1.86958315316587687e-03
18 -3.200000 -1.86958315316587687e-03
19 -3.200000 -1.86958315316587687e-03
20 -3.200000 -1.86958315316587687e-03
1 -3.100000 -2.62656807899475098e-03
2 -3.100000 -2.62656807899475098e-03
3 -3.100000 -2.62656784616410732e-03
4 -3.100000 -2.62656784616410732e-03
5 -3.100000 -2.62656807899475098e-03
6 -3.100000 -2.62656784616410732e-03
7 -3.100000 -2.62656784616410732e-03
8 -3.100000 -2.62656784616410732e-03
9 -3.100000 -2.62656807899475098e-03
10 -3.100000 -2.62656807899475098e-03
11 -3.100000 -2.62656807899475098e-03
12 -3.100000 -2.62656807899475098e-03
13 -3.100000 -2.62656807899475098e-03
14 -3.100000 -2.62656784616410732e-03
15 -3.100000 -2.62656807899475098e-03
16 -3.100000 -2.62656807899475098e-03
17 -3.100000 -2.62656784616410732e-03
18 -3.100000 -2.62656807899475098e-03
19 -3.100000 -2.62656784616410732e-03
20 -3.100000 -2.62656807899475098e-03
1 -3.000000 -3.63743305206298828e-03
2 -3.000000 -3.63743305206298828e-03
3 -3.000000 -3.63743305206298828e-03
4 -3.000000 -3.63743305206298828e-03
5 -3.000000 -3.63743305206298828e-03
6 -3.000000 -3.63743305206298828e-03
7 -3.000000 -3.63743305206298828e-03
8 -3.000000 -3.63743305206298828e-03
9 -3.000000 -3.63743305206298828e-03
10 -3.000000 -3.63743305206298828e-03
11 -3.000000 -3.63743305206298828e-03
12 -3.000000 -3.63743305206298828e-03
13 -3.000000 -3.63743305206298828e-03
14 -3.000000 -3.63743305206298828e-03
15 -3.000000 -3.63743305206298828e-03
16 -3.000000 -3.63743305206298828e-03
17 -3.000000 -3.63743305206298828e-03
18 -3.000000 -3.63743305206298828e-03
19 -3.000000 -3.63743305206298828e-03
20 -3.000000 -3.63743305206298828e-03
1 -2.900000 -4.96668508276343346e-03
2 -2.900000 -4.96668554842472076e-03
3 -2.900000 -4.96668508276343346e-03
4 -2.900000 -4.96668554842472076e-03
5 -2.900000 -4.96668554842472076e-03
6 -2.900000 -4.96668554842472076e-03
7 -2.900000 -4.96668554842472076e-03
8 -2.900000 -4.96668508276343346e-03
9 -2.900000 -4.96668554842472076e-03
10 -2.900000 -4.96668554842472076e-03
11 -2.900000 -4.96668554842472076e-03
12 -2.900000 -4.96668554842472076e-03
13 -2.900000 -4.96668554842472076e-03
14 -2.900000 -4.96668554842472076e-03
15 -2.900000 -4.96668508276343346e-03
16 -2.900000 -4.96668508276343346e-03
17 -2.900000 -4.96668554842472076e-03
18 -2.900000 -4.96668508276343346e-03
19 -2.900000 -4.96668554842472076e-03
20 -2.900000 -4.96668554842472076e-03
1 -2.800000 -6.68890448287129402e-03
2 -2.800000 -6.68890448287129402e-03
3 -2.800000 -6.68890448287129402e-03
4 -2.800000 -6.68890448287129402e-03
5 -2.800000 -6.68890448287129402e-03
6 -2.800000 -6.68890448287129402e-03
7 -2.800000 -6.68890494853258133e-03
8 -2.800000 -6.68890448287129402e-03
9 -2.800000 -6.68890448287129402e-03
10 -2.800000 -6.68890448287129402e-03
11 -2.800000 -6.68890448287129402e-03
12 -2.800000 -6.68890448287129402e-03
13 -2.800000 -6.68890448287129402e-03
14 -2.800000 -6.68890448287129402e-03
15 -2.800000 -6.68890448287129402e-03
16 -2.800000 -6.68890448287129402e-03
17 -2.800000 -6.68890494853258133e-03
18 -2.800000 -6.68890448287129402e-03
19 -2.800000 -6.68890448287129402e-03
20 -2.800000 -6.68890448287129402e-03
1 -2.700000 -8.88757966458797455e-03
2 -2.700000 -8.88758059591054916e-03
3 -2.700000 -8.88758059591054916e-03
4 -2.700000 -8.88758059591054916e-03
5 -2.700000 -8.88758059591054916e-03
6 -2.700000 -8.88758059591054916e-03
7 -2.700000 -8.88758059591054916e-03
8 -2.700000 -8.88757966458797455e-03
9 -2.700000 -8.88758059591054916e-03
10 -2.700000 -8.88757966458797455e-03
11 -2.700000 -8.88758059591054916e-03
12 -2.700000 -8.88758059591054916e-03
13 -2.700000 -8.88758059591054916e-03
14 -2.700000 -8.88758059591054916e-03
15 -2.700000 -8.88758059591054916e-03
16 -2.700000 -8.88758059591054916e-03
17 -2.700000 -8.88758059591054916e-03
18 -2.700000 -8.88757966458797455e-03
19 -2.700000 -8.88758059591054916e-03
20 -2.700000 -8.88758059591054916e-03
1 -2.600000 -1.16538992151618004e-02
2 -2.600000 -1.16539001464843750e-02
3 -2.600000 -1.16539001464843750e-02
4 -2.600000 -1.16539001464843750e-02
5 -2.600000 -1.16538992151618004e-02
6 -2.600000 -1.16538992151618004e-02
7 -2.600000 -1.16539001464843750e-02
8 -2.600000 -1.16538992151618004e-02
9 -2.600000 -1.16539001464843750e-02
10 -2.600000 -1.16539001464843750e-02
11 -2.600000 -1.16539001464843750e-02
12 -2.600000 -1.16539001464843750e-02
13 -2.600000 -1.16539001464843750e-02
14 -2.600000 -1.16538992151618004e-02
15 -2.600000 -1.16538992151618004e-02
16 -2.600000 -1.16539001464843750e-02
